sr_no,id,original_language,original_title,release_date,vote_average,vote_count,genre,overview,revenue,runtime,gender
8123,3635.0,en,Girl with a Pearl Earring,12/12/2003,6.6,1084.0,DramaRomance,"This film, adapted from a work of fiction by author Tracy Chevalier, tells a story about the events surrounding the creation of the painting ""Girl With A Pearl Earring"" by 17th century Dutch master Johannes Vermeer. A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.",31466789.0,101.0,0
8124,2165.0,en,Liberty Stands Still,1/18/2002,5.3,104.0,ThrillerActionDrama,"As the heir and current marketing director for one of the nations biggest gun manufacturers, Liberty Wallace is indifferent to the atrocities made possible through her business and her CEO husband, Victor. On her way to see her actor lover, Liberty ends up chained to a food cart full of explosives -- all at the insistence of ""Joe"", a sniper whose young daughter was a victim of gun violence, and who now has Liberty in his sights.",107503530.61488006,96.0,1
8125,489927.0,en,The Kindergarten Teacher,9/23/2018,6.6,236.0,Drama,"Lisa Spinelli is a Staten Island teacher who is unusually devoted to her students. When she discovers one of her five-year-olds is a prodigy, she becomes fascinated with the boy, ultimately risking her family and freedom to nurture his talent.",107503530.61488006,96.0,0
8126,36079.0,ru,Сказка сказок,1/5/1979,7.4,95.0,Animation,"Skazka Skazok (Tale of Tales) is a 27-minute animated short film, considered the masterpiece of influential Russian animator Yuri Norstein. Told in a non-narrative style by free association, the film employs various techniques including puppets, cut-outs, and traditional cell animation. Using classical music and 30s jazz tunes instead of dialogue.",107503530.61488006,29.0,0
8127,10606.0,en,The Philadelphia Experiment,8/3/1984,6.1,251.0,Science FictionAdventureThriller,"Based on an ""actual event"" that took place in 1943. About a US Navy Destroyer Escort that disappeared from the Philadelphia Naval Shipyard, and sent two men 40 years into the future to 1984.",107503530.61488006,102.0,1
8128,10780.0,en,Overboard,12/16/1987,6.8,608.0,ComedyRomance,"Heiress, Joanna Stayton hires carpenter, Dean Proffitt to build a closet on her yacht—and refuses to pay him for the project when its done. But after Joanna accidentally falls overboard and loses her memory, Dean sees an opportunity to get even.",26713187.0,106.0,0
8129,4464.0,en,Seabiscuit,7/22/2003,7.0,612.0,DramaHistory,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,148336445.0,141.0,1
8130,11849.0,en,Dungeons & Dragons,12/8/2000,4.3,434.0,DramaAdventureFantasy,"The Empire of Izmer is a divided land: elite magicians called “mages” rule while lowly commoners are powerless. When Empress Savina vows to bring equality and prosperity to her land, the evil mage Profion plots to depose her.",15185241.0,107.0,1
8131,435365.0,en,The Story of Star Wars,8/18/2004,7.6,11.0,Documentary,"The Skywalker family is at the heart of the Star Wars saga. Now hear the inside story of Luke and Anakin Skywalker from the characters who witnessed it all: the famous droid duo C-3PO and R2-D2. Episodes IV,V and VI are explored in ""The Story of Luke Skywalker,"" which follows the young man escaping from his daily chores on Tatooine to his becoming a hero in the Rebal Alliance. In ""The Story of Anakin Skywalker,"" youll go behind the mask of the greatest Star Wars villain and discover how Darth Vader started life as a young Podracing Champ on Tatooine and later became a headstrong young Jedi seduced by the Dark Side of the Force. With clips from the Star Wars films, C-3PO and R2-D2 take you on an hour-long journey through the saga and prepare you for the explosive final chapter: Star Wars: Episode III Revenge of the Sith.",107503530.61488006,60.0,1
8132,365240.0,en,Cruise,9/28/2018,6.1,63.0,Romance,"Set in the 1980s, a young Italian-American from the wrong side of the tracks falls for a Jewish girl from Long Island.",107503530.61488006,90.0,1
